leaf_id,healthy_area_mean,healthy_perimeter_mean,healthy_compactness_mean,healthy_convexity_mean,mean_embedding_distance
3-2-9-4-1,637202.6,7752.226767015457,0.0106068296997241,0.7475030161249233,0.23347792
3-2-9-5-1,624279.1,7623.301876568794,0.01081498646762962,0.7142818234323222,0.2242676
4-2-10-1-1,950505.4,10880.374748659135,0.012432339116534758,0.7547323361973861,0.32893944
4-2-10-2-1,781473.4,8127.055194091797,0.01309997521225118,0.7700298849894024,0.27491653
4-2-10-3-1,663620.3,6858.646383452416,0.014007152708922981,0.8116419198612528,0.32964903
4-2-10-4-1,541167.3,6880.664705872536,0.01157211786966094,0.7738375585875774,0.3212814
4-2-10-5-1,595281.5,7493.367649626732,0.010709480224729482,0.7371576891190106,0.22872958
4-2-8-1-1,621794.0,6661.863628387451,0.01388825940732748,0.8042113663838876,0.29894334
4-2-8-2-1,696906.8,7725.776810836792,0.01184440849440864,0.7325320803734418,0.29428563
4-2-8-3-1,581910.8,7405.549394226075,0.01068207588832868,0.7209726523452107,0.26954514
4-2-8-4-1,567117.1,7101.324591422081,0.01146909455193754,0.7511384839806989,0.3820313
4-2-8-5-1,1004055.6,9924.715038394928,0.0107388061527779,0.7133698814292323,0.42340508
4-2-9-1-1,663620.3,6858.646383452416,0.014007152708922981,0.8116419198612528,0.3738557
4-2-9-2-1,608048.1,6642.916023087501,0.013645366031527962,0.8116787334253219,0.23690028
4-2-9-3-1,679170.4,7671.176986122131,0.011723526092612799,0.7311071770731306,0.20188037
4-2-9-4-1,528915.0,7535.752075052262,0.010161449060757841,0.7138964316040615,0.31833145
4-2-9-5-1,557079.4,7927.795133256912,0.00940183473354978,0.6999156367423732,0.4413783
8-1-10-1-1,858184.8,7899.462927246093,0.0138916488733557,0.8423437094471649,0.16445085
8-1-10-2-1,617276.6,7255.671186256409,0.01438271665310086,0.7525707762764051,0.47610265
8-1-10-3-1,695892.0,7628.46108160019,0.01228794343350178,0.7512592645246731,0.37332374
8-1-8-1-1,563559.4,7587.812135887146,0.009973087259209699,0.7418801066726637,0.17934051
8-1-8-2-1,563559.4,7587.812135887146,0.009973087259209699,0.7418801066726638,0.16445985
8-1-8-3-1,580415.8,7161.3788317680355,0.011476426823430742,0.7607072728580658,0.37082362
8-1-9-1-1,840754.8,8871.272506046294,0.0107607874666704,0.7597518073523954,0.14817956
8-1-9-2-1,746607.8,8194.654358911514,0.01114975095156666,0.7986915661560531,0.21241598
8-1-9-3-1,652406.4,7391.860421705246,0.01217952129981998,0.7369794496141946,0.33105603
9-1-11-1-1,1897461.3,23933.415203356744,0.0034088718876812405,0.7814860676002612,0.083494246
9-1-11-1-2,1944178.5,24782.620565009118,0.0032962820099038,0.779087552261075,0.106544554
9-1-11-1-3,1897461.3,23933.415203356744,0.0034088718876812397,0.7814860676002613,0.108564675
9-1-11-1-5,1897461.3,23933.415203356744,0.0034088718876812397,0.7814860676002612,0.12368385
9-1-11-2-1,1897461.3,23933.415203356744,0.0034088718876812405,0.7814860676002612,0.11325419
9-1-11-2-2,1960056.3,25240.380187630653,0.0032417056617406403,0.7749586863115768,0.13738814
9-1-11-2-3,1897461.3,23933.415203356744,0.0034088718876812405,0.7814860676002613,0.18972063
9-1-11-2-5,1897461.3,23933.415203356744,0.0034088718876812405,0.7814860676002612,0.13340716
9-1-11-3-1,1892382.2,23245.574934244156,0.00355279630210404,0.7868938416410739,0.17747463
9-1-11-3-2,1897461.3,23933.415203356744,0.0034088718876812405,0.7814860676002612,0.17006579
9-1-11-3-3,1928746.5,24087.25118830204,0.0034232589225586204,0.783352202413033,0.14913675
9-1-12-1-1,1972210.5,24935.45589005947,0.0033537266720847004,0.7792678948555367,0.12015261
9-1-12-1-2,1904536.4,22940.650636672974,0.0036648173124481003,0.7912030501850338,0.09676005
9-1-12-1-4,1909615.5,23628.490905785562,0.0035208928980253002,0.7857952761442212,0.103902355
9-1-12-2-4,1885232.3,26071.55224516392,0.0029573205648440602,0.7551883348926899,0.12715897
9-1-12-2-5,1883286.5,23865.07491362095,0.00340331873016564,0.7791575904080447,0.15015502
9-1-12-3-2,1146426.7,14716.025081181526,0.009209848601234721,0.7741107598456356,0.26163268
9-1-12-3-4,1269554.4,17151.67659945488,0.0044513797343361,0.7490404760373004,0.26814604
9-1-12-3-5,1338721.0,17083.862143611907,0.004630632621480781,0.7704621930053358,0.18240692
9-1-13-1-2,1919968.4,23636.02001338005,0.00353784039979328,0.7869384000330756,0.12984109
9-1-13-1-3,1855622.9,23927.831020236015,0.0032866163808204,0.7772460777670659,0.118931666
9-1-13-1-5,1749492.8,23301.274846601485,0.0033014167077705997,0.7708597468811323,0.13399418
9-1-13-2-1,1146426.7,14716.025081181526,0.00920984860123472,0.7741107598456356,0.34220392
9-1-13-2-2,1314602.0,17812.52251377106,0.004273417688344281,0.7558233338455473,0.26184067
9-1-13-2-3,1314602.0,17812.52251377106,0.004273417688344281,0.7558233338455473,0.27021885
9-1-13-2-4,1314602.0,17812.52251377106,0.004273417688344281,0.7558233338455473,0.27351403
9-1-13-2-5,1269554.4,17151.67659945488,0.0044513797343361,0.7490404760373004,0.29910287
9-1-13-3-4,1146426.7,14716.025081181526,0.00920984860123472,0.7741107598456356,0.3305004
9-1-13-3-5,984160.8,12858.034943532944,0.010655490876338899,0.7561996470945637,0.36844856
9-1-14-1-1,1548822.3,21429.191478037836,0.00365476042887168,0.7638288831021848,0.104445316
9-1-14-1-2,1598813.8,22248.015270376207,0.0033626843542740397,0.7590263923914919,0.16158997
9-1-14-1-4,1598813.8,22248.015270376207,0.0033626843542740397,0.7590263923914919,0.13675922
9-1-14-1-5,1574715.1,23179.89051396847,0.00303416910480526,0.746098217540518,0.12736288
9-1-14-2-1,1574715.1,23179.89051396847,0.00303416910480526,0.746098217540518,0.11720167
9-1-14-2-2,1598813.8,22248.015270376207,0.0033626843542740406,0.7590263923914919,0.14510566
9-1-14-2-3,1574715.1,23179.89051396847,0.00303416910480526,0.746098217540518,0.11376357
9-1-14-2-4,1574715.1,23179.89051396847,0.00303416910480526,0.746098217540518,0.083014175
9-1-14-2-5,1574715.1,23179.89051396847,0.00303416910480526,0.746098217540518,0.10710363
9-3-10-1-1,692643.7,7005.049239563942,0.013901794504293541,0.8197646598562507,0.33202985
9-3-10-2-1,637314.5,7386.537201619149,0.01198145214658114,0.752594741630617,0.3005705
9-3-10-3-1,652406.4,7391.860421705246,0.012179521299819982,0.7369794496141946,0.36364222
9-3-9-1-1,608048.1,6642.916023087501,0.013645366031527962,0.8116787334253219,0.25466746
9-3-9-2-1,622227.0,7666.4562045574185,0.01166271000218242,0.7373988813185632,0.36975673
9-3-9-3-1,557259.8,6580.47237200737,0.012830116993831919,0.7862302799342068,0.30337492
