leaf_id,category,is_healthy,area,perimeter,hull_area,convexity,compactness,major_axis,minor_axis,aspect_ratio
4-2-13-indoor - Scan 2,healthy,1,1786426.5,26261.070655226707,2431485.5,0.7347058002196599,0.002590361020015182,2561.0144,421.6263,6.0741334
4-2-14 - Scan 3,healthy,1,724465.5,5059.377970814705,798382.0,0.9074171261376133,0.028302412586778868,1245.5596,365.04675,3.412055
4-2-14-indoor - Scan 1,healthy,1,1543793.0,25747.94664120674,2209100.0,0.698833461590693,0.0023286481138820787,2339.1406,413.91962,5.6511955
4-2-15 - Scan 2,healthy,1,762067.5,7699.636103510857,957070.5,0.7962501195053029,0.012854436408090758,1815.493,290.95953,6.2396755
4-2-15 - Scan 3,healthy,1,1039395.0,7969.501108407974,1187220.0,0.8754864304846617,0.016365088286559745,1824.496,359.22888,5.078923
4-2-15-indoor - Scan 1,healthy,1,1347932.0,18929.948394060135,1833955.5,0.7349862087711506,0.003761569787510177,1977.9247,434.58334,4.5513124
4-2-15-indoor - Scan 2,healthy,1,1392851.0,16079.347115516663,1774094.0,0.7851055242845081,0.005387258795846955,1912.1328,438.2808,4.362803
4-2-16 - Scan 2,healthy,1,794364.0,7965.133577346802,1125515.0,0.7057782437373114,0.012520838884252568,1683.9827,323.65298,5.20305
4-2-16-indoor - Scan 2,healthy,1,1118175.5,20173.04802286625,1654371.0,0.6758916228584761,0.0027476849031965044,1794.4495,416.29993,4.3104725
4-3 _ Leaf 10,healthy,1,1311655.5,11727.226400971413,1696734.0,0.7730472189512322,0.00953738173280816,2372.4097,356.0968,6.6622605
4-3 _ Leaf 8,healthy,1,929206.0,10877.602825164795,1586364.5,0.5857455836915161,0.007853181064665362,2255.159,272.37952,8.279473
4-3 _ Leaf 9,healthy,1,1064671.5,9554.340851664543,1445603.0,0.736489547960263,0.011663104510573698,2135.7593,324.2437,6.586895
8-1 _ Leaf 10,healthy,1,1080402.5,12164.91356909275,1707026.5,0.6329148961659353,0.007300750807587027,2315.4473,326.68973,7.0876036
8-1 _ Leaf 8,healthy,1,606691.5,8461.723539710045,908961.5,0.6674556623135304,0.00847325440972473,1771.08,218.92169,8.090015
8-1 _ Leaf 9,healthy,1,783407.0,8836.343816041946,1024631.5,0.7645743860109707,0.010033263925630923,2095.2168,235.93492,8.8804865
8-1-13 - Scan 1,healthy,1,1897967.0,15121.79790687561,2367989.0,0.8015100576903018,0.008300070813901897,2826.2651,449.12854,6.2927756
8-1-13 - Scan 2,healthy,1,1149563.0,11523.16631436348,1475902.0,0.7788884356820439,0.008657432553879135,2121.1685,363.15115,5.841007
8-1-14 - Scan 1,healthy,1,1608343.0,10266.083930492401,1872928.5,0.8587316600713802,0.015260510153779484,2442.4185,419.36862,5.824037
8-1-15 - Scan 2,healthy,1,1349346.5,10381.890060305595,1641224.0,0.8221586450112842,0.012519028719695329,1848.0585,453.4829,4.075255
8-1-16 - Scan 2,healthy,1,1133514.0,8621.40774345398,1306539.0,0.8675699692087263,0.015250023677901398,1898.8618,381.93607,4.9716744
8-1-17 - Scan 2,healthy,1,1101035.5,14464.667964100838,1680007.0,0.6553755430780943,0.005262406397532937,1899.0597,378.67526,5.0150084
8-1-18 - Scan 1,healthy,1,784730.0,7982.74583697319,1018991.5,0.7701045592627612,0.01231446792659952,1760.2413,308.3116,5.709293
8-1-19 - Scan 1,healthy,1,711305.0,6872.575140476227,844946.0,0.8418348628196358,0.01505971897897962,1443.5725,313.60004,4.603228
8-2 _ Leaf 10,healthy,1,1347063.0,10633.52966952324,1586664.5,0.8489904450499774,0.01191332564343866,2479.8408,339.13412,7.3122716
8-2 _ Leaf 8,healthy,1,1508959.5,16843.342398285866,2304861.0,0.6546856838655346,0.00531889024902216,3749.556,268.5751,13.960921
8-2 _ Leaf 9,healthy,1,1044829.0,8419.903129339218,1242806.5,0.8407012676551016,0.014737744674948209,2028.0176,313.79028,6.462971
8-3 _ Leaf 10,healthy,1,1623347.5,11664.58052790165,1912334.0,0.8488828311372386,0.011930901086446809,2744.9773,366.42294,7.491281
8-3 _ Leaf 8,healthy,1,836070.0,7924.045264720917,942468.5,0.8871065717315751,0.013315232215836484,1949.5205,258.8675,7.530959
8-3 _ Leaf 9,healthy,1,1293858.5,10591.953111290932,1500689.0,0.8621763070163105,0.01153279796928464,2583.688,306.61935,8.42637
9-1 _ Leaf 8,healthy,1,777399.0,9160.956952095032,1118830.0,0.6948321013916323,0.009263226703974083,2192.1067,229.47298,9.552788
9-1 _ Leaf 9,healthy,1,1090745.5,10538.306361794472,1530698.5,0.7125802370617075,0.009821589761764827,2384.4824,284.49866,8.381349
9-1-11 - Scan 2,healthy,1,1949375.0,24505.069443702698,2484765.5,0.7845307736283363,0.003246261618139323,2767.003,442.88107,6.2477336
9-1-12 - Scan 1,healthy,1,2143255.0,20948.25287413597,2565320.5,0.8354726046901352,0.0048840289548347125,2812.7495,468.14926,6.008232
9-1-12 - Scan 2,healthy,1,1976895.5,24023.82175076008,2492725.0,0.7930660221243819,0.0034253071340373644,2798.8083,455.63232,6.1426907
9-1-12 - Scan 4,healthy,1,2010146.0,22980.447955846786,2493740.0,0.8060768163481358,0.0038063666698596385,2734.7395,446.6498,6.122782
9-1-13 - Scan 1,healthy,1,1747470.5,26833.389415860176,2372608.0,0.736518843399331,0.0024269385840604263,2585.7068,422.77615,6.1160183
9-1-13 - Scan 4,healthy,1,1805491.0,21828.15358042717,2278288.0,0.7924770705020612,0.0037893203864830666,2409.9028,430.5232,5.5976143
9-1-13 - Scan 5,healthy,1,1821527.5,22407.307908415794,2314488.0,0.7870109933600865,0.0036279088599703666,2487.8115,436.703,5.696804
9-1-14 - Scan 1,healthy,1,1607807.0,23127.39238023758,2135149.0,0.7530186417903387,0.0030059418695509007,2296.7239,435.37546,5.275272
9-1-14 - Scan 2,healthy,1,1538560.5,25314.319559693336,2134411.0,0.7208360995141049,0.002400944173847369,2277.544,420.57184,5.4153504
9-1-14 - Scan 4,healthy,1,1552719.0,24598.14589881897,2133555.0,0.7277614122907542,0.002566185939623587,2248.449,422.90433,5.3166847
